
Sample,Date,GMT,Air/Ground,Altitude,Airspeed,FLT Number,Flap Handle-Pos,Flap Posn-L,Flap Posn-R,FlapSkew 1 Pos,FlapSkew 2 Pos,FlapSkew 3 Pos,FlapSkew 4 Pos,FlapSkew 5 Pos,FlapSkew 6 Pos,FlapSkew 7 Pos,FlapSkew 8 Pos,FlapsSkew 1to8 ,FlapsSkew 2to7 ,FlapsSkew 3to6 ,FlapsSkew 4to5 ,
,[ MM:DD ],[  ],[  ],[  ],[ Kt ],[  ],[ DEG ],[ Deg ],[ Deg ],[  ],[  ],[  ],[  ],[  ],[  ],[  ],[  ],[  ],[  ],[  ],[  ],
1,,13:34:56,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
2,,13:34:57,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
3,,13:34:58,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
4,,13:34:59,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
5,,13:35:00,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
6,,13:35:01,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
7,,13:35:02,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
8,,13:35:03,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
9,,13:35:04,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
10,,13:35:05,ground,498.0,45.0,,5.0,,2.2,214,,,,,,,,normal,normal,normal,normal,
11,,13:35:06,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
12,,13:35:07,ground,498.0,45.0,,5.0,,2.2,,,412,,,,,,normal,normal,normal,normal,
13,,13:35:08,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
14,,13:35:09,ground,498.0,45.0,,5.0,,2.2,,,,,,,,207,normal,normal,normal,normal,
15,,13:35:10,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
16,,13:35:11,ground,498.0,45.0,,5.0,,2.2,,,,,,410,,,normal,normal,normal,normal,
17,,13:35:12,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
18,,13:35:13,ground,498.0,45.0,,5.0,,2.2,,364,,,,,,,normal,normal,normal,normal,
19,,13:35:14,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
20,,13:35:15,ground,498.0,45.0,,5.0,,2.2,,,,260,,,,,normal,normal,normal,normal,
21,,13:35:16,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
22,,13:35:17,ground,498.0,45.0,,5.0,,2.2,,,,,,,362,,normal,normal,normal,normal,
23,,13:35:18,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
24,03:24,13:35:19,ground,498.0,45.0,,5.0,,2.2,,,,,254,,,,normal,normal,normal,normal,
25,03:24,13:35:20,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
26,03:24,13:35:21,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
27,03:24,13:35:22,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
28,03:24,13:35:23,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
29,03:24,13:35:24,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
30,03:24,13:35:25,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
31,03:24,13:35:26,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
32,03:24,13:35:27,ground,498.0,45.0,G0000000,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
33,03:24,13:35:28,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
34,03:24,13:35:29,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
35,03:24,13:35:30,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
36,03:24,13:35:31,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
37,03:24,13:35:32,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
38,03:24,13:35:33,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
39,03:24,13:35:34,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
40,03:24,13:35:35,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
41,03:24,13:35:36,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
42,03:24,13:35:37,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
43,03:24,13:35:38,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
44,03:24,13:35:39,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
45,03:24,13:35:40,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
46,03:24,13:35:41,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
47,03:24,13:35:42,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
48,03:24,13:35:43,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
49,03:24,13:35:44,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
50,03:24,13:35:45,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
51,03:24,13:35:46,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
52,03:24,13:35:47,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
53,03:24,13:35:48,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
54,03:24,13:35:49,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
55,03:24,13:35:50,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
56,03:24,13:35:51,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
57,03:24,13:35:52,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
58,03:24,13:35:53,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
59,03:24,13:35:54,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
60,03:24,13:35:55,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
61,03:24,13:35:56,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
62,03:24,13:35:57,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
63,03:24,13:35:58,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
64,03:24,13:35:59,ground,498.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
65,03:24,13:36:00,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
66,03:24,13:36:01,ground,499.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
67,03:24,13:36:02,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
68,03:24,13:36:03,ground,499.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
69,03:24,13:36:04,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
70,03:24,13:36:05,ground,499.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
71,03:24,13:36:06,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
