A/C_Reg;MSN;Operator;Delivery Date;Dataframe;Sample/Sec;;;;
PK-GEM;29928;Garuda Indonesia;Jan-01;737-3B;8;;;;
PK-GEN;29929;Garuda Indonesia;Jan-01;737-3B;8;;;;
PK-GEP;29931;Garuda Indonesia;Des-01;737-3B;8;;;;
PK-GMA;30151;Garuda Indonesia;Jun-09;737-3B;8;;;;
PK-GMC;30155;Garuda Indonesia;Nov-09;737-3C;8;;;;
PK-GMD;30156;Garuda Indonesia;Nov-09;737-3C;8;;;;16 sample/sec --> -7 N-series, F-series yang (P/N FDR dan DFDAU)
PK-GME;30157;Garuda Indonesia;Des-09;737-3C;8;;;;"8 sample/sec --> -3b ; -3c"
PK-GMF;30140;Garuda Indonesia;Des-09;737-3C;8;;;;
PK-GMG;30141;Garuda Indonesia;Feb-10;737-3C;8;;;;
PK-GMH;30142;Garuda Indonesia;Mar-10;737-3C;8;;;;
PK-GMI;30143;Garuda Indonesia;Apr-10;737-3C;8;;;;
PK-GMJ;30144;Garuda Indonesia;Apr-10;737-3C;8;;;;
PK-GMK;29666;Garuda Indonesia;Feb-10;737-3C;8;;;;
PK-GML;31763;Garuda Indonesia;Feb-10;737-3C;8;;;;
PK-GMM;30145;Garuda Indonesia;Mei-10;737-3C;8;;;;
PK-GMN;30146;Garuda Indonesia;Jun-10;737-3C;8;;;;
PK-GMO;30147;Garuda Indonesia;Jul-10;737-3C;8;;;;
PK-GMP;30148;Garuda Indonesia;Agu-10;737-3B;8;;;;
PK-GMQ;30149;Garuda Indonesia;Sep-10;737-3C;8;;;;
PK-GMR;30150;Garuda Indonesia;Okt-10;737-3C;8;;;;
PK-GMS;38071;Garuda Indonesia;Des-11;737-3C;8;;;;
PK-GMU;38073;Garuda Indonesia;Feb-12;737-3C;8;;;;
PK-GMV;38074;Garuda Indonesia;Mar-12;737-3C;8;;;;
PK-GMW;38069;Garuda Indonesia;Mei-12;737-3C;8;;;;
PK-GMX;38070;Garuda Indonesia;Apr-12;737-3B;8;;;;
PK-GMY;38884;Garuda Indonesia;Mei-13;737-7;16;;;;
PK-GMZ;38072;Garuda Indonesia;Agu-13;737-3C;8;;;;
PK-GFA;36549;Garuda Indonesia;Jul-10;737-3C;8;;;;
PK-GFC;39390;Garuda Indonesia;Jul-10;737-3B;8;;;;
PK-GFD;40807;Garuda Indonesia;Jul-10;737-3B;8;;;;
PK-GFE;36804;Garuda Indonesia;Agu-10;737-3C;8;;;;
PK-GFF;36436;Garuda Indonesia;Agu-10;737-3C;8;;;;
PK-GFG;37819;Garuda Indonesia;Sep-10;737-3C;8;;;;
PK-GFH;36850;Garuda Indonesia;Sep-10;737-3C;8;;;;
PK-GFI;36805;Garuda Indonesia;Okt-10;737-3C;8;;;;
PK-GFJ;37885;Garuda Indonesia;Okt-10;737-3C;8;;;;
PK-GFK;37887;Garuda Indonesia;Nov-10;737-3C;8;;;;
PK-GFL;36808;Garuda Indonesia;Des-10;737-7;16;;;;
PK-GFM;39920;Garuda Indonesia;Jan-11;737-3C;8;;;;
PK-GFN;38033;Garuda Indonesia;Apr-11;737-7;16;;;;
PK-GFO;39403;Garuda Indonesia;Jun-11;737-7;16;;;;
PK-GFP;38821;Garuda Indonesia;Jun-11;737-3C;8;;;;
PK-GFQ;39416;Garuda Indonesia;Sep-11;737-3C;8;;;;
PK-GFR;39417;Garuda Indonesia;Okt-11;737-3B;8;;;;
PK-GFS;36830;Garuda Indonesia;Des-11;737-7;16;;;;
PK-GFT;38032;Garuda Indonesia;Des-11;737-7;16;;;;
PK-GFU;38040;Garuda Indonesia;Jun-13;737-7;16;;;;
PK-GFV;38885;Garuda Indonesia;Jun-13;737-7;16;;;;
PK-GFW;39929;Garuda Indonesia;Jul-13;737-7;16;;;;
PK-GFX;39928;Garuda Indonesia;Mei-13;737-7;16;;;;
PK-GFY;38043;Garuda Indonesia;Sep-13;737-7;16;;;;
PK-GFZ;38044;Garuda Indonesia;Okt-13;737-7;16;;;;
PK-GNA;41310;Garuda Indonesia;Nov-13;737-7;16;;;;
PK-GNC;41312;Garuda Indonesia;Des-13;737-7;16;;;;
PK-GND;41794;Garuda Indonesia;Jan-14;737-7;16;;;;
PK-GNE;39936;Garuda Indonesia;Feb-14;737-7;16;;;;
PK-GNF;39939;Garuda Indonesia;Apr-14;737-7;16;;;;
PK-GNG;39891;Garuda Indonesia;Mei-14;737-7;16;;;;
PK-GNH;40547;Garuda Indonesia;Jun-14;737-7;16;;;;
PK-GNI;41267;Garuda Indonesia;Jun-14;737-7;16;;;;
PK-GNJ;41796;Garuda Indonesia;Jun-14;737-7;16;;;;
PK-GNK;41798;Garuda Indonesia;Agu-14;737-7;16;;;;
PK-GNL;41253;Garuda Indonesia;Sep-14;737-7;16;;;;
PK-GNM;41322;Garuda Indonesia;Sep-14;737-7;16;;;;
PK-GNN;41270;Garuda Indonesia;Okt-14;737-7;16;;;;
PK-GNO;41800;Garuda Indonesia;Okt-14;737-7;16;;;;
PK-GNP;41605;Garuda Indonesia;Jan-15;737-7;16;;;;
PK-GNQ;39954;Garuda Indonesia;Feb-15;737-7;16;;;;
PK-GNR;39955;Garuda Indonesia;Mar-15;737-7;16;;;;
PK-GNS;41607;Garuda Indonesia;Mei-15;737-7;16;;;;
PK-GNT;41806;Garuda Indonesia;Mei-15;737-7;16;;;;
PK-GNU;41812;Garuda Indonesia;Okt-15;737-7;16;;;;
PK-GNV;41815;Garuda Indonesia;Des-15;737-7;16;;;;
