id_dfdr,id_dataframe,desc,d_type,flap_monitoring,stab_trim_problem
Sample,SAMPLE,Sample,index,,
115VacSTDBY,EL_115VACSTDBY,115 VAC STDBY Bus 2,object,,
115VacUnA-L1,EL_115VACUNA_L1,115 VAC UnAvailable,object,,
115VacUnA-L2,EL_115VACUNA_L2,115 VAC UnAvailable,object,,
115VacUnA-R1,EL_115VACUNA_R1,115 VAC UnAvailable,object,,
115VacUnA-R2,EL_115VACUNA_R2,115 VAC UnAvailable,object,,
115VacXFR,EL_115VACXFR,115 VAC XFR Bus 2,object,,
1300-HzMarkr,EL_1300_HZMARKR,1300 Hz Marker,object,,
28VdcBatBus2,EL_28VDCBATBUS2,28 VDC Bat Bus-2,object,,
28VdcBus1,EL_28VDCBUS1,28VDC Bus-1 Sect-2,object,,
28VdcBus2,EL_28VDCBUS2,28VDC Bus-2 Sect-3,object,,
28VdcHotBatB,EL_28VDCHOTBATB,28 VDC Hot Bat Bus,object,,
28VdcStdByB,EL_28VDCSTDBYB,28 VDC STDBY Bus-2,object,,
28VdcSwHotB,EL_28VDCSWHOTB,28 VDC Sw Hot Bat,object,,
3000-HzMarkr,EL_3000_HZMARKR,3000 Hz Marker,object,,
400-HzMarkr,EL_400_HZMARKR,400 Hz Marker,object,,
A/C-GndEEC-1,A_C_GNDEEC_1,A/C On Gnd EEC-1,object,,
A/C-GndEEC-2,A_C_GNDEEC_2,A/C On Gnd EEC-2,object,,
A/C-ID-Inval,A_C_ID_INVAL,IR A/C Ident Code,object,,
A/C-Number,A_C_NUMBER,A/C Number,object,,
A/C-Type,A_C_TYPE,A/C Type,object,,
A/IceSwCwl-1,A_ICESWCWL_1,Eng Cowl A/IceSw-1,object,,
A/IceSwCwl-2,A_ICESWCWL_2,Eng Cowl A/IceSw-2,object,,
A/P-EngTyp-1,A_P_ENGTYP_1,A/P Eng TypeCode-1,object,,
A/P-EngTyp-2,A_P_ENGTYP_2,A/P Eng TypeCode-2,object,,
A/P-Off,A_P_OFF,A/P Off,object,,
A/P-Warn,A_P_WARN,A/P Warn CP/FO,object,,
A/SlatCmd-L,A_SLATCMD_L,Auto Slat Cmd-L,object,,
A/SlatCmd-R,A_SLATCMD_R,Auto Slat Cmd-R,object,,
A/SlatEnab-L,A_SLATENAB_L,Auto Slat Enabld-L,object,,
A/SlatEnab-R,A_SLATENAB_R,Auto Slat Enabld-R,object,,
A/SlatVal-L,A_SLATVAL_L,Auto Slat Valid-L,object,,
A/SlatVal-R,A_SLATVAL_R,Auto Slat Valid-R,object,,
A/SpdBrkExtC,A_SPDBRKEXTC,Auto SpdBrkExtend,object,,
A/T-DisconSw,A_T_DISCONSW,A/T Disconct Swtch,object,,
A/T-DisEnga,A_T_DISENGA,A/T Disengage,object,,
A/T-Engage,A_T_ENGAGE,A/T Engage,object,,
A/T-Limit,A_T_LIMIT,A/T Limit,object,,
A/T-SpdWarn,A_T_SPDWARN,A/T Spd Warn,object,,
A/T-Warn,A_T_WARN,A/T Warn CP/FO,object,,
AbsAirspdErr,ABSAIRSPDERR,ABS Airspeed Error,object,,
AbsRoll<6Deg,ABSROLL<6DEG,ABS Roll < 6 Degre,object,,
AccLmtModeSel-1_,ACCLMTMODESEL_1_,Accel Lmt Mode Sel #1,object,,
AccLmtModeSel-2_,ACCLMTMODESEL_2_,Accel Lmt Mode Sel #2,object,,
ACMS-S/W-P/N,ACMS_S_W_P_N,ACMS S/W P/N Code,numeric,,
ActAltitRef,ACTALTITREF,Activ Altitude Ref,object,,
AD/IR-Fault,AD_IR_FAULT,AD/IR Fault,object,,
ADC-Fault,ADC_FAULT,ADC Fault,object,,
ADF-SelLf-CP,ADF_SELLF_CP,ADF Selctd Left-CP,object,,
ADF-SelLf-FO,ADF_SELLF_FO,ADF Selctd Left-FO,object,,
ADF-SelRt-CP,ADF_SELRT_CP,ADF Selctd Righ-CP,object,,
ADF-SelRt-FO,ADF_SELRT_FO,ADF Selctd Righ-FO,object,,
ADR-A/GndInV,ADR_A_GNDINV,ADR Air/Gnd Logic,object,,
ADR-Fault,ADR_FAULT,ADR Fault,object,,
AdvAltRate,ADVALTRATE,Advisory Alt Rate,numeric,,
AdvRate2Main,ADVRATE2MAIN,AdvRate 2 Maintain,numeric,,
AilActPos-L,AILACTPOS_L,Ail Actuator Pos-L,numeric,,
AilActPos-R,AILACTPOS_R,Ail Actuator Pos-R,numeric,,
Aileron-L,AILERON_L,Aileron Pos-L,numeric,,
Aileron-R,AILERON_R,Aileron Pos-R,numeric,,
AilQuadPos,AILQUADPOS,Ail Quadrant Pos,numeric,,
AilRollCmd-L,AILROLLCMD_L,Ail Roll Cmd-L,numeric,,
AilRollCmd-R,AILROLLCMD_R,Ail Roll Cmd-R,numeric,,
Air/GndOnGnd,AIR_GNDONGND,Air/Gnd On Ground,numeric,,
Air/Ground,AIR_GROUND,Air/Ground,object,V,V
AirportsS-CP,AIRPORTSS_CP,AirportsSelctd-CP,object,,
AirportsS-FO,AIRPORTSS_FO,Airports Selctd-FO,object,,
Airspeed-Cmp,AIRSPEED_CMP,Computed Airspeed,numeric,V,V
Airspeed-FMC,AIRSPEED_FMC,FMC Airspeed Selct,numeric,,
Airspeed-Sel,AIRSPEED_SEL,Selected Airspeed,numeric,,
AlignFault,ALIGNFAULT,Align Fault,object,,
AlignMd/NotR,ALIGNMD_NOTR,Align Md/Not Ready,object,,
AllADIRU1InInvalid-1_,ALLADIRU1ININVALID_1_,All ADIRU1 In Invalid #1,object,,
AllADIRU1InInvalid-2_,ALLADIRU1ININVALID_2_,All ADIRU1 In Invalid #2,object,,
AllADIRU2InInvalid-1_,ALLADIRU2ININVALID_1_,All ADIRU2 In Invalid #1,object,,
AllADIRU2InInvalid-2_,ALLADIRU2ININVALID_2_,All ADIRU2 In Invalid #2,object,,
AltAcq,ALTACQ,Alt Acq,object,,
AltAcquire,ALTACQUIRE,Alt Acquire,object,,
AlternateArm,ALTERNATEARM,Alternate Arm,object,,
AltHold,ALTHOLD,Alt Hold,object,,
AltHoldPBLit,ALTHOLDPBLIT,Alt Hold PB Lite,object,,
AltitReport,ALTITREPORT,Altitude Reporting,object,,
Altitude,ALTITUDE,Altitude 1013.25,numeric,V,V
Altitude-Crs,ALTITUDE_CRS,Altitude Coarse,numeric,,
Altitude-Fin,ALTITUDE_FIN,Altitude Fine,numeric,,
Altitude-FMC,ALTITUDE_FMC,FMC Altitude Select,numeric,,
AltitudeSel,ALTITUDESEL,Altitude Select,object,,
Altitude-Sel,ALTITUDE_SEL,Selected Altitude,numeric,,
AltrnatFlt-1,ALTRNATFLT_1,Alternator Fault-1,object,,
AltrnatFlt-2,ALTRNATFLT_2,Alternator Fault-2,object,,
ANP_,ANP_,Actual Nav Perf-ANP,numeric,,
AOA-Fail,AOA_FAIL,AOA Fail,object,,
AOA-L,AOA_L,Angle of Attack-L,numeric,,
AOA-R,AOA_R,Angle of Attack-R,numeric,,
AOA-SigFail,AOA_SIGFAIL,AOA Signal Fail,object,,
ApprIdle-1,APPRIDLE_1,Approach Idle-1,object,,
ApprIdle-2,APPRIDLE_2,Approach Idle-2,object,,
ApprMdSel-CP,APPRMDSEL_CP,Approach Mode-CP,object,,
