id_dfdr,id_dataframe,desc,d_type,flap_monitoring,stab_trim_problem
115VacSTDBY,115VACSTDBY,115 VAC STDBY Bus2,,,
115VacUnA-L1,115VACUNA-L1,115 VAC UnAvailabl,,,
115VacUnA-L2,115VACUNA-L2,115 VAC UnAvailabl,,,
115VacUnA-R1,115VACUNA-R1,115 VAC UnAvailabl,,,
115VacUnA-R2,115VACUNA-R2,115 VAC UnAvailabl,,,
115VacXFR,115VACXFR,115 VAC XFR Bus 2,,,
1300-HzMarkr,1300-HZMARKR,1300 Hz Marker,,,
28VdcBatBus2,28VDCBATBUS2,28 VDC Bat Bus-2,,,
28VdcBus1,28VDCBUS1,28VDC Bus-1 Sect-2,,,
28VdcBus2,28VDCBUS2,28VDC Bus-2 Sect-3,,,
28VdcHotBatB,28VDCHOTBATB,28 VDC Hot Bat Bus,,,
28VdcStdByB,28VDCSTDBYB,28 VDC STDBY Bus-2,,,
28VdcSwHotB,28VDCSWHOTB,28 VDC Sw Hot Bat,,,
3000-HzMarkr,3000-HZMARKR,3000 Hz Marker,,,
400-HzMarkr,400-HZMARKR,400 Hz Marker,,,
A/C-GndEEC-1,A/C-GNDEEC-1,A/C On Gnd EEC-1,,,
A/C-GndEEC-2,A/C-GNDEEC-2,A/C On Gnd EEC-2,,,
A/C-ID-Inval,A/C-ID-INVAL,IR A/C Ident Code,,,
A/C-Number,A/C-NUMBER,A/C Number,,,
A/C-Type,A/C-TYPE,A/C Type,,,
A/IceSwCwl-1,A/ICESWCWL-1,Eng Cowl A/IceSw-1,,,
A/IceSwCwl-2,A/ICESWCWL-2,Eng Cowl A/IceSw-2,,,
A/P-EngTyp-1,A/P-ENGTYP-1,A/P Eng TypeCode-1,,,
A/P-EngTyp-2,A/P-ENGTYP-2,A/P Eng TypeCode-2,,,
A/P-Off,A/P-OFF,A/P Off,,,
A/P-Warn,A/P-WARN,A/P Warn CP/FO,,,
A/SlatCmd-L,A/SLATCMD-L,Auto Slat Cmd-L,,,
A/SlatCmd-R,A/SLATCMD-R,Auto Slat Cmd-R,,,
A/SlatEnab-L,A/SLATENAB-L,Auto Slat Enabld-L,,,
A/SlatEnab-R,A/SLATENAB-R,Auto Slat Enabld-R,,,
A/SlatVal-L,A/SLATVAL-L,Auto Slat Valid-L,,,
A/SlatVal-R,A/SLATVAL-R,Auto Slat Valid-R,,,
A/SpdBrkExtC,A/SPDBRKEXTC,Auto SpdBrk Extend,,,
A/T-DisconSw,A/T-DISCONSW,A/T Disconct Swtch,,,
A/T-DisEnga,A/T-DISENGA,A/T Disengage,,,
A/T-Engage,A/T-ENGAGE,A/T Engage,,,
A/T-Limit,A/T-LIMIT,A/T Limit,,,
A/T-SpdWarn,A/T-SPDWARN,A/T Spd Warn,,,
A/T-Warn,A/T-WARN,A/T Warn CP/FO,,,
AbsAirspdErr,ABSAIRSPDERR,ABS Airspeed Error,,,
AbsRoll<6Deg,ABSROLL<6DEG,ABS Roll < 6 Degre,,,
ACMS-S/W-P/N,ACMS-S/W-P/N,ACMS S/W P/N Code,,,
ActAltitRef,ACTALTITREF,Activ Altitude Ref,,,
AD/IR-Fault,AD/IR-FAULT,AD/IR Fault,,,
ADC-Fault,ADC-FAULT,ADC Fault,,,
ADF-SelLf-CP,ADF-SELLF-CP,ADF Selctd Left-CP,,,
ADF-SelLf-FO,ADF-SELLF-FO,ADF Selctd Left-FO,,,
ADF-SelRt-CP,ADF-SELRT-CP,ADF Selctd Righ-CP,,,
ADF-SelRt-FO,ADF-SELRT-FO,ADF Selctd Righ-FO,,,
ADR-A/GndInV,ADR-A/GNDINV,ADR Air/Gnd Logic,,,
ADR-Fault,ADR-FAULT,ADR Fault,,,
AdvAltRate,ADVALTRATE,Advisory Alt Rate,,,
AdvRate2Main,ADVRATE2MAIN,AdvRate 2 Maintain,,,
AilActPos-L,AILACTPOS-L,Ail Actuator Pos-L,,,
AilActPos-R,AILACTPOS-R,Ail Actuator Pos-R,,,
Aileron-L,AILERON-L,Aileron Pos-L,,,
Aileron-R,AILERON-R,Aileron Pos-R,,,
AilQuadPos,AILQUADPOS,Ail Quadrant Pos,,,
AilRollCmd-L,AILROLLCMD-L,Ail Roll Cmd-L,,,
AilRollCmd-R,AILROLLCMD-R,Ail Roll Cmd-R,,,
Air/GndOnGnd,AIR/GNDONGND,Air/Gnd On Ground,,,
Air/Ground,AIR_GROUND,Air/Ground,object,V,V
AirportsS-CP,AIRPORTSS-CP,Airports Selctd-CP,,,
AirportsS-FO,AIRPORTSS-FO,Airports Selctd-FO,,,
Airspeed-Cmp,AIRSPEED_CMP,Computed Airspeed,numeric,V,V
Airspeed-FMC,AIRSPEED-FMC,FMC Airspeed Selct,,,
Airspeed-Sel,AIRSPEED-SEL,Selected Airspeed,,,
AlignFault,ALIGNFAULT,Align Fault,,,
AlignMd/NotR,ALIGNMD/NOTR,Align Md/Not Ready,,,
AltAcq,ALTACQ,Alt Acq,,,
