,DATETIME,AC_REG,FLIGHT_NO,AIR_GROUND,AIRSPEED_CMP,ALTITUDE,FLAPEXT_1,FLAPEXT_2,FLAPEXT_3,FLAPEXT_4,FLAPHANDLPOS,FLAPTRANS_1,FLAPTRANS_2,FLAPTRANS_3,FLAPTRANS_4,PITCHTRIMPOS,TRIMDOWN_A_P,TRIMDOWN_MAN,TRIMUP_A_P,TRIMUP_MAN,TRIM_A_P_CD,TRIM_MAN_CD,SIM_PITCHTRIMPOS
1,2020-09-23 03:22:13,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
2,2020-09-23 03:22:14,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
3,2020-09-23 03:22:15,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
4,2020-09-23 03:22:16,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
5,2020-09-23 03:22:17,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
6,2020-09-23 03:22:18,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
7,2020-09-23 03:22:19,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
8,2020-09-23 03:22:20,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
9,2020-09-23 03:22:21,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
10,2020-09-23 03:22:22,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
11,2020-09-23 03:22:23,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
12,2020-09-23 03:22:24,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
13,2020-09-23 03:22:25,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
14,2020-09-23 03:22:26,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
15,2020-09-23 03:22:27,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
16,2020-09-23 03:22:28,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
17,2020-09-23 03:22:29,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
18,2020-09-23 03:22:30,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
19,2020-09-23 03:22:31,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
20,2020-09-23 03:22:32,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
21,2020-09-23 03:22:33,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
22,2020-09-23 03:22:34,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
23,2020-09-23 03:22:35,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
24,2020-09-23 03:22:36,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
25,2020-09-23 03:22:37,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
26,2020-09-23 03:22:38,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,5.71,no trim,no trim,no trim,no trim,0,0,5.71
