,DATETIME,AC_REG,FLIGHT_NO,AIR_GROUND,AIRSPEED_CMP,ALTITUDE,FLAPEXT_1,FLAPEXT_2,FLAPEXT_3,FLAPEXT_4,FLAPHANDLPOS,FLAPTRANS_1,FLAPTRANS_2,FLAPTRANS_3,FLAPTRANS_4,TE_FLAPPSE_L,TE_FLAPPSE_L_SYNCRHO,TE_FLAPPSE_R,TE_FLAPPSE_R_SYNCHRO,TE_FLAPSKW_1,TE_FLAPSKW_2,TE_FLAPSKW_3,TE_FLAPSKW_4,TE_FLAPSKW_5,TE_FLAPSKW_6,TE_FLAPSKW_7,TE_FLAPSKW_8,TE_FLPSK1TO8,TE_FLPSK2TO7,TE_FLPSK3TO6,TE_FLPSK4TO5,FLAPTRANS_ALL,FLAPTRANS_IND,FLAPTRANS_DISC
1,2020-09-23 03:22:13,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
2,2020-09-23 03:22:14,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
3,2020-09-23 03:22:15,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
4,2020-09-23 03:22:16,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
5,2020-09-23 03:22:17,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
6,2020-09-23 03:22:18,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
7,2020-09-23 03:22:19,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
8,2020-09-23 03:22:20,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
9,2020-09-23 03:22:21,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
10,2020-09-23 03:22:22,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
11,2020-09-23 03:22:23,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
12,2020-09-23 03:22:24,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
13,2020-09-23 03:22:25,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
14,2020-09-23 03:22:26,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
15,2020-09-23 03:22:27,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
16,2020-09-23 03:22:28,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
17,2020-09-23 03:22:29,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
18,2020-09-23 03:22:30,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
19,2020-09-23 03:22:31,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
20,2020-09-23 03:22:32,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
21,2020-09-23 03:22:33,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
22,2020-09-23 03:22:34,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
23,2020-09-23 03:22:35,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
24,2020-09-23 03:22:36,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
25,2020-09-23 03:22:37,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
26,2020-09-23 03:22:38,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
27,2020-09-23 03:22:39,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
28,2020-09-23 03:22:40,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
29,2020-09-23 03:22:41,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
30,2020-09-23 03:22:42,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
31,2020-09-23 03:22:43,PK-GFD,GIA448,ground,45.0,88,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
