AC_Reg,FlightNo,Date,Time,Air/Ground,Altitude,Airspeed,Flap_Handle_Pos,TE_Flap_Pos_LT,TE_Flap_Pos_RT,TE_Flap_Skew_Pos_1,TE_Flap_Skew_Pos_2,TE_Flap_Skew_Pos_3,TE_Flap_Skew_Pos_4,TE_Flap_Skew_Pos_5,TE_Flap_Skew_Pos_6,TE_Flap_Skew_Pos_7,TE_Flap_Skew_Pos_8
PK-GEM,GIA217,2019-03-24,13:34:56,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:34:57,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:34:58,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:34:59,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:00,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:01,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:02,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:03,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:04,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:05,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:06,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:07,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:08,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:09,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:10,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:11,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:12,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:13,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:14,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:15,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:16,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:17,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:18,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:19,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:20,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:21,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:22,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:23,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:24,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:25,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:26,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:27,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:28,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:29,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:30,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
PK-GEM,GIA217,2019-03-24,13:35:31,ground,498.0,45.0,5.0,2.3,2.2,214.0,364.0,412.0,260.0,254.0,410.0,362.0,207.0
